variant_name,query_subject,query_task,query_side,true_rank_among_same_subject_candidates,n_same_subject_candidates,true_beats_all_same_subject_negatives,nearest_same_subject_negative_task,nearest_same_subject_negative_side,distance_true,distance_nearest_same_subject_negative,hard_negative_failure
v2_reference,sub-oLNpHd,HoldL,L,1,2,True,MoveL,L,0.133243867988222,0.34735284394750504,False
v2_reference,sub-oLNpHd,MoveL,L,1,2,True,HoldL,L,0.14256514808763573,0.16531083796429116,False
v2A_top5_aperiodic_rerank,sub-0cGdk9,HoldL,L,1,2,True,MoveL,L,-0.4999999999999999,0.5000000000000002,False
v2A_top5_aperiodic_rerank,sub-0cGdk9,MoveL,L,1,2,True,HoldL,L,-0.4999999999999999,0.5,False
v2A_top5_aperiodic_rerank,sub-2IU8mi,HoldL,L,2,2,False,MoveL,L,1.5,-1.5000000000000002,True
v2A_top5_aperiodic_rerank,sub-2IU8mi,MoveL,L,1,2,True,HoldL,L,-1.5,1.5,False
v2A_top5_aperiodic_rerank,sub-2IhVOz,HoldR,R,1,2,True,MoveR,R,-1.500000000000013,1.4999999999999871,False
v2A_top5_aperiodic_rerank,sub-2IhVOz,MoveR,R,1,2,True,HoldR,R,-0.49999999999999345,0.5000000000000064,False
v2A_top5_aperiodic_rerank,sub-AB2PeX,HoldL,L,2,2,False,MoveL,L,0.49999999999999956,-0.5000000000000004,True
v2A_top5_aperiodic_rerank,sub-AB2PeX,MoveL,L,1,2,True,HoldL,L,-0.5000000000000002,0.5,False
v2A_top5_aperiodic_rerank,sub-AbzsOg,HoldL,L,1,2,True,MoveL,L,-1.5000000000000002,1.5,False
v2A_top5_aperiodic_rerank,sub-AbzsOg,MoveL,L,2,2,False,HoldL,L,1.5000000000000002,-1.5,True
v2A_top5_aperiodic_rerank,sub-FIyfdR,HoldR,R,1,2,True,MoveR,R,-1.5000000000000002,1.5,False
v2A_top5_aperiodic_rerank,sub-FIyfdR,MoveR,R,2,2,False,HoldR,R,1.4999999999999991,-1.5000000000000009,True
v2A_top5_aperiodic_rerank,sub-FYbcap,HoldL,L,2,2,False,MoveL,L,0.49999999999999845,-0.5000000000000016,True
v2A_top5_aperiodic_rerank,sub-FYbcap,MoveL,L,1,2,True,HoldL,L,-0.5,0.5,False
v2A_top5_aperiodic_rerank,sub-PuPVlx,HoldL,L,2,2,False,MoveL,L,1.5,-1.5,True
v2A_top5_aperiodic_rerank,sub-PuPVlx,MoveL,L,1,2,True,HoldL,L,-1.5,1.5,False
v2A_top5_aperiodic_rerank,sub-QZTsn6,HoldL,L,1,2,True,MoveL,L,-1.5,1.5,False
v2A_top5_aperiodic_rerank,sub-QZTsn6,MoveL,L,2,2,False,HoldL,L,1.5,-1.5,True
v2A_top5_aperiodic_rerank,sub-VopvKx,HoldR,R,2,2,False,MoveR,R,1.4999999999999991,-1.5000000000000009,True
v2A_top5_aperiodic_rerank,sub-VopvKx,MoveR,R,1,2,True,HoldR,R,-1.5000000000000002,1.4999999999999998,False
v2A_top5_aperiodic_rerank,sub-dCsWjQ,HoldL,L,1,2,True,MoveL,L,-1.5000000000000187,1.4999999999999813,False
v2A_top5_aperiodic_rerank,sub-dCsWjQ,MoveL,L,2,2,False,HoldL,L,0.5000000000000004,-0.49999999999999956,True
v2A_top5_aperiodic_rerank,sub-gNX5yb,HoldL,L,2,2,False,MoveL,L,0.5,-0.5,True
v2A_top5_aperiodic_rerank,sub-gNX5yb,MoveL,L,1,2,True,HoldL,L,-0.4999999999999998,0.5000000000000002,False
v2A_top5_aperiodic_rerank,sub-hnetKS,HoldL,L,2,2,False,MoveL,L,0.4999999999999998,-0.5000000000000002,True
v2A_top5_aperiodic_rerank,sub-hnetKS,MoveL,L,1,2,True,HoldL,L,-0.5000000000000004,0.49999999999999956,False
v2A_top5_aperiodic_rerank,sub-i4oK0F,HoldL,L,1,2,True,MoveL,L,-1.5000000000000007,1.4999999999999996,False
v2A_top5_aperiodic_rerank,sub-i4oK0F,MoveL,L,2,2,False,HoldL,L,0.5000000000000004,-0.49999999999999967,True
v2A_top5_aperiodic_rerank,sub-jyC0j3,HoldR,R,2,2,False,MoveR,R,0.4999999999999998,-0.5,True
v2A_top5_aperiodic_rerank,sub-jyC0j3,MoveR,R,1,2,True,HoldR,R,-1.5,1.4999999999999998,False
v2A_top5_aperiodic_rerank,sub-oLNpHd,HoldL,L,1,2,True,MoveL,L,-1.5000000000000002,1.5,False
v2A_top5_aperiodic_rerank,sub-oLNpHd,MoveL,L,1,2,True,HoldL,L,-0.4999999999999988,0.5000000000000011,False
